weather_id,weather_info,wind_speed,temperature,time
803,Clouds,4.63,10.24,2023-04-13 18
803,Clouds,5.14,9.31,2023-04-13 19
803,Clouds,3.6,6.67,2023-04-13 20
802,Clouds,2.57,5.68,2023-04-13 21
802,Clouds,1.54,5.98,2023-04-13 22
803,Clouds,2.06,5.93,2023-04-13 23
803,Clouds,1.79,5.72,2023-04-14 00
803,Clouds,2.57,4.83,2023-04-14 01
803,Clouds,3.09,3.75,2023-04-14 02
803,Clouds,2.06,3.65,2023-04-14 03
803,Clouds,1.54,3.47,2023-04-14 04
803,Clouds,1.03,3.74,2023-04-14 05
802,Clouds,2.57,2.45,2023-04-14 06
802,Clouds,3.09,3.32,2023-04-14 07
801,Clouds,3.6,5.77,2023-04-14 08
803,Clouds,3.6,7.66,2023-04-14 09
803,Clouds,3.6,9.47,2023-04-14 10
801,Clouds,4.63,10.4,2023-04-14 11
802,Clouds,5.14,10.51,2023-04-14 12
802,Clouds,5.14,11.74,2023-04-14 13
802,Clouds,5.14,12.16,2023-04-14 14
802,Clouds,6.17,12.7,2023-04-14 15
802,Clouds,6.69,13.19,2023-04-14 16
801,Clouds,5.66,12.79,2023-04-14 17
801,Clouds,7.72,11.11,2023-04-14 18
802,Clouds,6.69,10.16,2023-04-14 19
801,Clouds,5.14,8.37,2023-04-14 20
801,Clouds,5.14,6.43,2023-04-14 21
801,Clouds,4.12,5.9,2023-04-14 22
801,Clouds,4.12,5.52,2023-04-14 23
801,Clouds,4.12,5.2,2023-04-15 00
801,Clouds,5.14,5.62,2023-04-15 01
801,Clouds,5.14,5.26,2023-04-15 02
801,Clouds,4.12,4.96,2023-04-15 03
801,Clouds,3.6,5.21,2023-04-15 04
801,Clouds,2.57,4.34,2023-04-15 05
801,Clouds,3.6,3.77,2023-04-15 06
801,Clouds,2.68,4.64,2023-04-15 07
801,Clouds,2.57,6.83,2023-04-15 08
802,Clouds,1.54,9.24,2023-04-15 09
803,Clouds,1.03,11.31,2023-04-15 10
802,Clouds,2.57,11.89,2023-04-15 11
803,Clouds,3.6,12.37,2023-04-15 12
